"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/12/01","19:24","-0.137","-0.24","-"
"2020/12/01","19:30","-0.138","-0.24","-"
"2020/12/01","19:36","-0.14","-0.26","-"
"2020/12/01","19:42","-0.141","-0.26","-"
"2020/12/01","19:48","-0.142","-0.28","-"
"2020/12/01","19:54","-0.143","-0.26","-"
"2020/12/01","20:00","-0.143","-0.23","-"
"2020/12/01","20:06","-0.143","-0.21","-"
"2020/12/01","20:12","-0.143","-0.2","-"
"2020/12/01","20:18","-0.142","-0.21","-"
"2020/12/01","20:24","-0.141","-0.21","-"
"2020/12/01","20:30","-0.14","-0.19","-"
"2020/12/01","20:36","-0.139","-0.18","-"
"2020/12/01","20:42","-0.137","-0.16","-"
"2020/12/01","20:48","-0.135","-0.16","-"
"2020/12/01","20:54","-0.133","-0.19","-"
"2020/12/01","21:00","-0.13","-0.17","-"
"2020/12/01","21:06","-0.127","-0.17","-"
"2020/12/01","21:12","-0.124","-0.16","-"
"2020/12/01","21:18","-0.12","-0.13","-"
"2020/12/01","21:24","-0.116","-0.15","-"
"2020/12/01","21:30","-0.112","-0.17","-"
"2020/12/01","21:36","-0.107","-0.13","-"
"2020/12/01","21:42","-0.102","-0.13","-"
"2020/12/01","21:48","-0.097","-0.11","-"
"2020/12/01","21:54","-0.092","-0.12","-"
"2020/12/01","22:00","-0.086","-0.13","-"
"2020/12/01","22:06","-0.08","-0.1","-"
"2020/12/01","22:12","-0.073","-0.09","-"
"2020/12/01","22:18","-0.067","-0.09","-"
"2020/12/01","22:24","-0.06","-0.08","-"
"2020/12/01","22:30","-0.052","-0.06","-"
"2020/12/01","22:36","-0.045","-0.05","-"
"2020/12/01","22:42","-0.037","-0.05","-"
"2020/12/01","22:48","-0.029","-0.04","-"
"2020/12/01","22:54","-0.021","-0.04","-"
"2020/12/01","23:00","-0.012","-0.04","-"
"2020/12/01","23:06","-0.004","-0.04","-"
"2020/12/01","23:12","0.005","-0.05","-"
"2020/12/01","23:18","0.014","-0.02","-"
"2020/12/01","23:24","0.024","-0.01","-"
"2020/12/01","23:30","0.033","-0.02","-"
"2020/12/01","23:36","0.043","-0.01","-"
"2020/12/01","23:42","0.053","0","-"
"2020/12/01","23:48","0.063","0.01","-"
"2020/12/01","23:54","0.073","0.02","-"
"2020/12/02","00:00","0.083","0.02","-"
"2020/12/02","00:06","0.094","0.03","-"
"2020/12/02","00:12","0.104","0.04","-"
"2020/12/02","00:18","0.114","0.04","-"
"2020/12/02","00:24","0.125","0.04","-"
"2020/12/02","00:30","0.136","0.06","-"
"2020/12/02","00:36","0.146","0.07","-"
"2020/12/02","00:42","0.157","0.09","-"
"2020/12/02","00:48","0.168","0.09","-"
"2020/12/02","00:54","0.178","0.1","-"
"2020/12/02","01:00","0.189","0.12","-"
"2020/12/02","01:06","0.199","0.13","-"
"2020/12/02","01:12","0.21","0.14","-"
"2020/12/02","01:18","0.22","0.16","-"
"2020/12/02","01:24","0.231","0.17","-"
"2020/12/02","01:30","0.241","0.17","-"
"2020/12/02","01:36","0.251","0.18","-"
"2020/12/02","01:42","0.261","0.2","-"
"2020/12/02","01:48","0.271","0.22","-"
"2020/12/02","01:54","0.281","0.22","-"
"2020/12/02","02:00","0.291","0.23","-"
"2020/12/02","02:06","0.301","0.24","-"
"2020/12/02","02:12","0.31","0.26","-"
"2020/12/02","02:18","0.32","0.27","-"
"2020/12/02","02:24","0.329","0.28","-"
"2020/12/02","02:30","0.338","0.29","-"
"2020/12/02","02:36","0.347","0.3","-"
"2020/12/02","02:42","0.356","0.31","-"
"2020/12/02","02:48","0.364","0.32","-"
"2020/12/02","02:54","0.373","0.33","-"
"2020/12/02","03:00","0.381","0.34","-"
"2020/12/02","03:06","0.389","0.37","-"
"2020/12/02","03:12","0.397","0.37","-"
"2020/12/02","03:18","0.405","0.39","-"
"2020/12/02","03:24","0.413","0.4","-"
"2020/12/02","03:30","0.42","0.41","-"
"2020/12/02","03:36","0.428","0.42","-"
"2020/12/02","03:42","0.435","0.43","-"
"2020/12/02","03:48","0.442","0.44","-"
"2020/12/02","03:54","0.449","0.45","-"
"2020/12/02","04:00","0.456","0.46","-"
"2020/12/02","04:06","0.463","0.47","-"
"2020/12/02","04:12","0.47","0.48","-"
"2020/12/02","04:18","0.476","0.49","-"
"2020/12/02","04:24","0.483","0.51","-"
"2020/12/02","04:30","0.489","0.52","-"
"2020/12/02","04:36","0.495","0.52","-"
"2020/12/02","04:42","0.502","0.53","-"
"2020/12/02","04:48","0.508","0.53","-"
"2020/12/02","04:54","0.514","0.55","-"
"2020/12/02","05:00","0.519","0.55","-"
"2020/12/02","05:06","0.525","0.57","-"
"2020/12/02","05:12","0.531","0.58","-"
"2020/12/02","05:18","0.537","0.59","-"
"2020/12/02","05:24","0.542","0.59","-"
"2020/12/02","05:30","0.548","0.6","-"
"2020/12/02","05:36","0.553","0.61","-"
"2020/12/02","05:42","0.559","0.62","-"
"2020/12/02","05:48","0.564","0.63","-"
"2020/12/02","05:54","0.569","0.64","-"
"2020/12/02","06:00","0.574","0.66","-"
"2020/12/02","06:06","0.579","0.66","-"
"2020/12/02","06:12","0.584","0.66","-"
"2020/12/02","06:18","0.589","0.66","-"
"2020/12/02","06:24","0.594","0.67","-"
"2020/12/02","06:30","0.599","0.67","-"
"2020/12/02","06:36","0.603","0.67","-"
"2020/12/02","06:42","0.608","0.68","-"
"2020/12/02","06:48","0.612","0.68","-"
"2020/12/02","06:54","0.616","0.69","-"
"2020/12/02","07:00","0.621","0.7","-"
"2020/12/02","07:06","0.625","0.7","-"
"2020/12/02","07:12","0.629","0.71","-"
"2020/12/02","07:18","0.632","0.72","-"
"2020/12/02","07:24","0.636","0.74","-"
"2020/12/02","07:30","0.64","0.75","-"
"2020/12/02","07:36","0.643","0.75","-"
"2020/12/02","07:42","0.646","0.76","-"
"2020/12/02","07:48","0.649","0.77","-"
"2020/12/02","07:54","0.652","0.78","-"
"2020/12/02","08:00","0.655","0.79","-"
"2020/12/02","08:06","0.657","0.8","-"
"2020/12/02","08:12","0.66","0.81","-"
"2020/12/02","08:18","0.662","0.81","-"
"2020/12/02","08:24","0.664","0.8","-"
"2020/12/02","08:30","0.666","0.8","-"
"2020/12/02","08:36","0.668","0.81","-"
"2020/12/02","08:42","0.669","0.81","-"
"2020/12/02","08:48","0.67","0.82","-"
"2020/12/02","08:54","0.671","0.82","-"
"2020/12/02","09:00","0.672","0.82","-"
"2020/12/02","09:06","0.672","0.81","-"
"2020/12/02","09:12","0.673","0.81","-"
"2020/12/02","09:18","0.673","-","-"
"2020/12/02","09:24","0.673","0.81","-"
"2020/12/02","09:30","0.672","0.81","-"
"2020/12/02","09:36","0.672","0.82","-"
"2020/12/02","09:42","0.671","0.82","-"
"2020/12/02","09:48","0.67","0.82","-"
"2020/12/02","09:54","0.668","0.81","-"
"2020/12/02","10:00","0.667","0.8","-"
"2020/12/02","10:06","0.665","0.8","-"
"2020/12/02","10:12","0.663","0.8","-"
"2020/12/02","10:18","0.66","0.79","-"
"2020/12/02","10:24","0.657","0.79","-"
"2020/12/02","10:30","0.654","0.78","-"
"2020/12/02","10:36","0.651","0.77","-"
"2020/12/02","10:42","0.648","0.77","-"
"2020/12/02","10:48","0.644","0.77","-"
"2020/12/02","10:54","0.64","0.77","-"
"2020/12/02","11:00","0.636","0.76","-"
"2020/12/02","11:06","0.631","0.76","-"
"2020/12/02","11:12","0.626","0.76","-"
"2020/12/02","11:18","0.621","0.75","-"
"2020/12/02","11:24","0.615","0.75","-"
"2020/12/02","11:30","0.61","0.74","-"
"2020/12/02","11:36","0.604","0.73","-"
"2020/12/02","11:42","0.597","0.73","-"
"2020/12/02","11:48","0.591","0.74","-"
"2020/12/02","11:54","0.584","0.73","-"
"2020/12/02","12:00","0.577","0.73","-"
"2020/12/02","12:06","0.57","0.72","-"
"2020/12/02","12:12","0.562","0.71","-"
"2020/12/02","12:18","0.554","0.7","-"
"2020/12/02","12:24","0.546","0.7","-"
"2020/12/02","12:30","0.537","0.7","-"
"2020/12/02","12:36","0.529","0.69","-"
"2020/12/02","12:42","0.52","0.68","-"
"2020/12/02","12:48","0.511","0.67","-"
"2020/12/02","12:54","0.501","0.66","-"
"2020/12/02","13:00","0.491","0.66","-"
"2020/12/02","13:06","0.482","0.65","-"
"2020/12/02","13:12","0.471","0.65","-"
"2020/12/02","13:18","0.461","0.64","-"
"2020/12/02","13:24","0.451","0.62","-"
"2020/12/02","13:30","0.44","0.61","-"
"2020/12/02","13:36","0.429","0.6","-"
"2020/12/02","13:42","0.418","0.59","-"
"2020/12/02","13:48","0.407","0.59","-"
"2020/12/02","13:54","0.395","0.59","-"
"2020/12/02","14:00","0.384","0.58","-"
"2020/12/02","14:06","0.372","0.58","-"
"2020/12/02","14:12","0.361","0.58","-"
"2020/12/02","14:18","0.349","0.57","-"
"2020/12/02","14:24","0.337","0.57","-"
"2020/12/02","14:30","0.325","0.56","-"
"2020/12/02","14:36","0.313","0.55","-"
"2020/12/02","14:42","0.301","0.53","-"
"2020/12/02","14:48","0.289","0.52","-"
"2020/12/02","14:54","0.276","0.51","-"
"2020/12/02","15:00","0.264","0.52","-"
"2020/12/02","15:06","0.252","0.5","-"
"2020/12/02","15:12","0.24","0.5","-"
"2020/12/02","15:18","0.228","0.47","-"
"2020/12/02","15:24","0.216","0.47","-"
"2020/12/02","15:30","0.204","0.46","-"
"2020/12/02","15:36","0.192","0.45","-"
"2020/12/02","15:42","0.18","0.44","-"
"2020/12/02","15:48","0.168","0.43","-"
"2020/12/02","15:54","0.157","0.41","-"
"2020/12/02","16:00","0.145","0.39","-"
"2020/12/02","16:06","0.134","0.38","-"
"2020/12/02","16:12","0.123","0.37","-"
"2020/12/02","16:18","0.112","0.36","-"
"2020/12/02","16:24","0.101","0.34","-"
"2020/12/02","16:30","0.09","0.33","-"
"2020/12/02","16:36","0.079","0.32","-"
"2020/12/02","16:42","0.069","0.31","-"
"2020/12/02","16:48","0.059","0.32","-"
"2020/12/02","16:54","0.049","0.29","-"
"2020/12/02","17:00","0.039","0.29","-"
"2020/12/02","17:06","0.029","0.28","-"
"2020/12/02","17:12","0.02","0.27","-"
"2020/12/02","17:18","0.011","0.27","-"
"2020/12/02","17:24","0.002","0.27","-"
"2020/12/02","17:30","-0.007","0.25","-"
"2020/12/02","17:36","-0.016","0.23","-"
"2020/12/02","17:42","-0.024","0.22","-"
"2020/12/02","17:48","-0.032","0.21","-"
"2020/12/02","17:54","-0.04","0.22","-"
"2020/12/02","18:00","-0.048","0.21","-"
"2020/12/02","18:06","-0.056","0.19","-"
"2020/12/02","18:12","-0.063","0.17","-"
"2020/12/02","18:18","-0.07","0.15","-"
"2020/12/02","18:24","-0.077","0.15","-"
"2020/12/02","18:30","-0.083","0.14","-"
"2020/12/02","18:36","-0.09","0.14","-"
"2020/12/02","18:42","-0.096","0.13","-"
"2020/12/02","18:48","-0.102","0.12","-"
"2020/12/02","18:54","-0.108","0.12","-"
"2020/12/02","19:00","-0.113","0.11","-"
"2020/12/02","19:06","-0.119","0.1","-"
"2020/12/02","19:12","-0.124","0.09","-"
"2020/12/02","19:18","-0.128","0.1","-"
"2020/12/02","19:24","-0.133","0.1","-"
"2020/12/02","19:30","-0.137","0.09","-"
"2020/12/02","19:36","-0.142","0.08","-"
"2020/12/02","19:42","-0.146","0.08","-"
"2020/12/02","19:48","-0.149","0.07","-"
"2020/12/02","19:54","-0.153","0.08","-"
"2020/12/02","20:00","-0.156","0.08","-"
"2020/12/02","20:06","-0.159","0.06","-"
"2020/12/02","20:12","-0.161","0.06","-"
"2020/12/02","20:18","-0.164","0.02","-"
"2020/12/02","20:24","-0.166","0.04","-"
"2020/12/02","20:30","-0.168","0.02","-"
"2020/12/02","20:36","-0.169","0.02","-"
"2020/12/02","20:42","-0.17","0.03","-"
"2020/12/02","20:48","-0.171","0.01","-"
"2020/12/02","20:54","-0.172","0.03","-"
"2020/12/02","21:00","-0.172","0.03","-"
"2020/12/02","21:06","-0.172","0.03","-"
"2020/12/02","21:12","-0.172","0.02","-"
"2020/12/02","21:18","-0.171","0","-"
"2020/12/02","21:24","-0.17","-0.01","-"
"2020/12/02","21:30","-0.169","-0.02","-"
"2020/12/02","21:36","-0.167","-0.01","-"
"2020/12/02","21:42","-0.165","-0.01","-"
"2020/12/02","21:48","-0.163","0.02","-"
"2020/12/02","21:54","-0.16","0.03","-"
"2020/12/02","22:00","-0.157","0.02","-"
"2020/12/02","22:06","-0.153","0.03","-"
"2020/12/02","22:12","-0.15","0.05","-"
"2020/12/02","22:18","-0.145","0.08","-"
"2020/12/02","22:24","-0.141","0.07","-"
"2020/12/02","22:30","-0.136","0.08","-"
"2020/12/02","22:36","-0.131","0.08","-"
"2020/12/02","22:42","-0.125","0.1","-"
"2020/12/02","22:48","-0.119","0.1","-"
"2020/12/02","22:54","-0.113","0.12","-"
"2020/12/02","23:00","-0.106","0.15","-"
"2020/12/02","23:06","-0.099","0.17","-"
"2020/12/02","23:12","-0.091","0.18","-"
"2020/12/02","23:18","-0.084","0.18","-"
"2020/12/02","23:24","-0.076","0.19","-"
"2020/12/02","23:30","-0.068","0.19","-"
"2020/12/02","23:36","-0.059","0.2","-"
"2020/12/02","23:42","-0.05","0.22","-"
"2020/12/02","23:48","-0.041","0.23","-"
"2020/12/02","23:54","-0.032","0.24","-"
"2020/12/03","00:00","-0.022","0.25","-"
"2020/12/03","00:06","-0.012","0.26","-"
"2020/12/03","00:12","-0.002","0.28","-"
"2020/12/03","00:18","0.008","0.28","-"
"2020/12/03","00:24","0.018","0.3","-"
"2020/12/03","00:30","0.029","0.31","-"
"2020/12/03","00:36","0.039","0.32","-"
"2020/12/03","00:42","0.05","0.34","-"
"2020/12/03","00:48","0.061","0.35","-"
"2020/12/03","00:54","0.072","0.37","-"
"2020/12/03","01:00","0.083","0.4","-"
"2020/12/03","01:06","0.094","0.45","-"
"2020/12/03","01:12","0.105","0.5","-"
"2020/12/03","01:18","0.116","0.54","-"
"2020/12/03","01:24","0.127","0.55","-"
"2020/12/03","01:30","0.138","0.51","-"
"2020/12/03","01:36","0.149","0.54","-"
"2020/12/03","01:42","0.161","0.55","-"
"2020/12/03","01:48","0.172","0.56","-"
"2020/12/03","01:54","0.183","0.57","-"
"2020/12/03","02:00","0.194","0.55","-"
"2020/12/03","02:06","0.204","0.55","-"
"2020/12/03","02:12","0.215","0.55","-"
"2020/12/03","02:18","0.226","0.53","-"
"2020/12/03","02:24","0.237","0.52","-"
"2020/12/03","02:30","0.247","0.52","-"
"2020/12/03","02:36","0.258","0.53","-"
"2020/12/03","02:42","0.268","0.52","-"
"2020/12/03","02:48","0.278","0.51","-"
"2020/12/03","02:54","0.288","0.53","-"
"2020/12/03","03:00","0.298","0.55","-"
"2020/12/03","03:06","0.308","0.56","-"
"2020/12/03","03:12","0.318","0.57","-"
"2020/12/03","03:18","0.327","0.57","-"
"2020/12/03","03:24","0.337","0.59","-"
"2020/12/03","03:30","0.346","0.61","-"
"2020/12/03","03:36","0.355","0.62","-"
"2020/12/03","03:42","0.364","0.62","-"
"2020/12/03","03:48","0.373","0.64","-"
"2020/12/03","03:54","0.382","0.65","-"
"2020/12/03","04:00","0.391","0.67","-"
"2020/12/03","04:06","0.4","0.67","-"
"2020/12/03","04:12","0.408","0.68","-"
"2020/12/03","04:18","0.416","0.69","-"
"2020/12/03","04:24","0.425","0.7","-"
"2020/12/03","04:30","0.433","0.72","-"
"2020/12/03","04:36","0.441","0.75","-"
"2020/12/03","04:42","0.449","0.76","-"
"2020/12/03","04:48","0.457","0.77","-"
"2020/12/03","04:54","0.464","0.76","-"
"2020/12/03","05:00","0.472","0.78","-"
"2020/12/03","05:06","0.479","0.78","-"
"2020/12/03","05:12","0.487","0.78","-"
"2020/12/03","05:18","0.494","0.79","-"
"2020/12/03","05:24","0.501","0.79","-"
"2020/12/03","05:30","0.509","0.83","-"
"2020/12/03","05:36","0.516","0.85","-"
"2020/12/03","05:42","0.522","0.84","-"
"2020/12/03","05:48","0.529","0.81","-"
"2020/12/03","05:54","0.536","0.83","-"
"2020/12/03","06:00","0.542","0.85","-"
"2020/12/03","06:06","0.549","0.86","-"
"2020/12/03","06:12","0.555","0.83","-"
"2020/12/03","06:18","0.561","0.82","-"
"2020/12/03","06:24","0.568","0.84","-"
"2020/12/03","06:30","0.573","0.88","-"
"2020/12/03","06:36","0.579","0.89","-"
"2020/12/03","06:42","0.585","0.9","-"
"2020/12/03","06:48","0.591","0.91","-"
"2020/12/03","06:54","0.596","0.93","-"
"2020/12/03","07:00","0.601","0.94","-"
"2020/12/03","07:06","0.606","0.96","-"
"2020/12/03","07:12","0.611","0.96","-"
"2020/12/03","07:18","0.616","0.94","-"
"2020/12/03","07:24","0.621","0.93","-"
"2020/12/03","07:30","0.625","0.92","-"
"2020/12/03","07:36","0.63","0.94","-"
"2020/12/03","07:42","0.634","0.93","-"
"2020/12/03","07:48","0.638","0.94","-"
"2020/12/03","07:54","0.642","0.95","-"
"2020/12/03","08:00","0.645","0.95","-"
"2020/12/03","08:06","0.649","0.91","-"
"2020/12/03","08:12","0.652","0.87","-"
"2020/12/03","08:18","0.655","0.83","-"
"2020/12/03","08:24","0.658","0.8","-"
"2020/12/03","08:30","0.661","0.83","-"
"2020/12/03","08:36","0.663","0.85","-"
"2020/12/03","08:42","0.666","0.8","-"
"2020/12/03","08:48","0.668","0.8","-"
"2020/12/03","08:54","0.67","0.78","-"
"2020/12/03","09:00","0.672","0.79","-"
"2020/12/03","09:06","0.674","0.76","-"
"2020/12/03","09:12","0.675","0.75","-"
"2020/12/03","09:18","0.676","0.79","-"
"2020/12/03","09:24","0.677","0.8","-"
"2020/12/03","09:30","0.678","0.79","-"
"2020/12/03","09:36","0.679","0.78","-"
"2020/12/03","09:42","0.679","0.81","-"
"2020/12/03","09:48","0.68","0.84","-"
"2020/12/03","09:54","0.68","0.85","-"
"2020/12/03","10:00","0.68","0.86","-"
"2020/12/03","10:06","0.679","0.85","-"
"2020/12/03","10:12","0.679","0.83","-"
"2020/12/03","10:18","0.678","0.84","-"
"2020/12/03","10:24","0.677","0.84","-"
"2020/12/03","10:30","0.676","0.86","-"
"2020/12/03","10:36","0.675","0.9","-"
"2020/12/03","10:42","0.673","0.9","-"
"2020/12/03","10:48","0.672","0.88","-"
"2020/12/03","10:54","0.67","0.85","-"
"2020/12/03","11:00","0.668","0.85","-"
"2020/12/03","11:06","0.665","0.85","-"
"2020/12/03","11:12","0.663","0.85","-"
"2020/12/03","11:18","0.66","0.85","-"
