STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMIN,PEAK_SPEED,PEAK_DIR
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/21/1999,2.5,",,X",0,",,0,2400",30.6,",,W",35,25.6,9.83488,90
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/23/1999,3.3,",,X",0,"T,,0,2400",30.6,",,W",33.9,26.7,8.04672,280
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/25/1999,2.6,",,X",0,",,0,2400",30.6,",,W",36.1,25,8.9408,140
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/26/1999,3,",,X",0,",,0,2400",30.6,",,W",36.7,24.4,9.83488,110
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/9/1999,3.5,",,X",0,",,0,2400",31.1,",,W",36.1,25.6,11.62304,160
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/10/1999,3.5,",,X",0,",,0,2400",31.1,",,W",36.1,25.6,7.15264,20
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/13/1999,3.9,",,X",0,",,0,2400",31.1,",,W",36.1,25.6,8.9408,170
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/19/1999,2.8,",,X",0,",,0,2400",31.1,",,W",37.8,24.4,9.38784,280
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/27/1999,2.8,",,X",0,",,0,2400",31.1,",,W",37.2,25,12.51712,70
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/28/1999,1.6,",,X",0,",,0,2400",31.1,",,W",36.7,25,6.7056,180
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/5/1999,2.5,",,X",0,",,0,2400",31.7,",,W",36.7,26.1,16.98752,20
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/14/1999,2.6,",,X",0,",,0,2400",31.7,",,W",37.8,25,7.15264,50
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",29.64586,-95.28212,13.2,8/20/1999,2.4,",,X",0,",,0,2400",31.7,",,W",38.3,24.4,16.54048,80
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/2/1999,1.9,",,X",0,"T,,0,2400",25,",,W",32.8,21.7,7.15264,180
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/31/1999,2.1,",,X",0,"T,,0,2400",28.3,",,W",33.3,22.8,6.25856,30
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/16/1999,2.7,",,X",0,",,0,2400",28.9,",,W",35.6,22.2,15.19936,40
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/1/1999,1.7,",,X",0,",,0,2400",29.4,",,W",35.6,23.3,8.04672,10
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/7/1999,1.6,",,X",0,"T,,0,2400",29.4,",,W",35,23.9,9.83488,30
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/8/1999,2.5,",,X",,,29.4,",,W",33.9,24.4,6.25856,270
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/15/1999,4.2,",,X",0,",,0,2400",29.4,",,W",36.1,22.8,8.9408,150
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/4/1999,2.5,",,X",0,",,0,2400",30,",,W",36.7,22.8,8.9408,220
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/9/1999,3.2,",,X",0,",,0,2400",30,",,W",35,25,8.9408,220
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/11/1999,3.4,",,X",0,",,0,2400",30,",,W",35,24.4,8.9408,190
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/13/1999,3.2,",,X",0,",,0,2400",30,",,W",35.6,24.4,10.28192,190
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/17/1999,2.6,",,X",0,"T,,0,2400",30,",,W",34.4,25,11.176,240
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/18/1999,2.3,",,X",0,",,0,2400",30,",,W",36.1,23.3,9.38784,240
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/22/1999,3.4,",,X",0,",,0,2400",30,",,W",35,25,13.85824,80
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/23/1999,3.2,",,X",0,"T,,0,2400",30,",,W",34.4,25,9.38784,50
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/24/1999,1.9,",,X",0,"T,,0,2400",30,",,W",35.6,24.4,7.15264,120
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/28/1999,2,",,X",0,",,0,2400",30,",,W",36.7,23.3,9.83488,140
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/3/1999,1.9,",,X",0,"T,,0,2400",30.6,",,W",36.1,24.4,6.7056,200
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/5/1999,2.1,",,X",0,",,0,2400",30.6,",,W",37.2,23.3,12.96416,100
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/6/1999,1.7,",,X",0,",,0,2400",30.6,",,W",36.7,24.4,9.38784,310
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/10/1999,3.3,",,X",0,",,0,2400",30.6,",,W",35.6,25.6,9.38784,130
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/12/1999,4.3,",,X",0,",,0,2400",30.6,",,W",35,25.6,10.72896,100
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/21/1999,2.4,",,X",0,",,0,2400",30.6,",,W",35.6,25,9.38784,170
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/25/1999,2.5,",,X",0,",,0,2400",30.6,",,W",36.7,24.4,7.59968,170
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/27/1999,1.9,",,X",0,",,0,2400",30.6,",,W",37.2,23.3,8.9408,180
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/30/1999,2.9,",,X",0,",,0,2400",30.6,",,W",37.2,23.9,8.04672,190
