date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
07-07-20,08:00,0.114,30,5.16,178,7.75,-
07-07-20,09:00,0.08,29.9,4.67,181,6.58,-
07-07-20,10:00,0.057,29.8,6.66,177,8.58,-
07-07-20,11:00,0.038,29.7,6.35,189,11.27,-
07-07-20,12:00,0.053,29.5,5.89,173,7.65,-
07-07-20,13:00,0.082,29.3,5.55,184,7.34,-
07-07-20,14:00,0.11,29.3,8.12,192,10.85,-
07-07-20,15:00,0.134,29.3,8.25,184,11.11,-
07-07-20,16:00,0.172,29.4,6.72,189,8.76,-
07-07-20,17:00,0.208,29.6,5.74,162,8.75,-
07-07-20,18:00,0.235,29.7,4.93,164,6.31,-
07-07-20,19:00,0.264,29.9,4.61,166,8.14,-
07-07-20,20:00,0.297,30.5,7.3,168,11,-
07-07-20,21:00,0.326,30.7,7.68,158,10.04,-
07-07-20,22:00,0.338,30.9,8.4,173,9.92,-
07-07-20,23:00,0.349,31,7.45,173,10.47,-
08-07-20,00:00,0.358,31,8.23,172,10.36,-
08-07-20,01:00,0.336,30.9,8.84,170,10.16,-
08-07-20,02:00,0.323,30.7,6.66,180,9.69,-
08-07-20,03:00,0.296,30.5,8.11,182,9.21,-
08-07-20,04:00,0.269,30.3,8.81,181,11.1,-
08-07-20,05:00,0.245,30.2,9.2,182,10.02,-
08-07-20,06:00,0.223,30,6.85,187,9.18,-
08-07-20,07:00,0.182,29.9,7.46,186,11.61,-
08-07-20,08:00,0.159,29.8,5.12,189,9.15,-
08-07-20,09:00,0.126,29.8,6.48,184,8.81,-
08-07-20,10:00,0.094,29.7,5.78,186,7.66,-
08-07-20,11:00,0.072,29.6,5.23,194,8.01,-
08-07-20,12:00,0.07,29.5,5.32,190,7.78,-
08-07-20,13:00,0.095,29.3,6.5,181,8.1,-
08-07-20,14:00,0.124,29.2,5.78,185,8.35,-
08-07-20,15:00,0.145,29.2,7.14,194,9.8,-
08-07-20,16:00,0.178,29.2,7.96,185,10.89,-
08-07-20,17:00,0.208,29.5,6.06,202,10.14,-
08-07-20,18:00,0.239,29.8,8.93,182,10.71,-
08-07-20,19:00,0.275,30.1,8.17,175,10.5,-
08-07-20,20:00,0.302,30.8,9.08,167,11.59,-
08-07-20,21:00,0.323,30.7,9.56,179,12.77,-
08-07-20,22:00,0.347,31.1,10.57,165,12.43,-
08-07-20,23:00,0.354,30.9,9.19,175,11.55,-
09-07-20,00:00,0.362,30.8,9.78,176,11.77,-
09-07-20,01:00,0.358,30.7,8.54,172,11.52,-
